taxonomy_strength,k,model_precision,random_expectation,lift_vs_random
strict,1,0.544,0.03390781563126252,16.043498817966906
strict,5,0.4584,0.03390781563126252,13.519007092198581
strict,10,0.3884,0.03390781563126252,11.454586288416078
family,1,0.658,0.0929939879759519,7.075726230497371
family,5,0.58,0.0929939879759519,6.236962330833548
family,10,0.5238,0.0929939879759519,5.632622187742436
context,1,0.714,0.2136993987975952,3.341141828275629
context,5,0.6628,0.2136993987975952,3.1015529464721103
context,10,0.613,0.2136993987975952,2.8685153231554072
